Transition,TwoLegged,Angle,Distance,PlayerType_C,PlayerType_F,PlayerType_G,Competition_EURO,Competition_NBA,Competition_SLO1,Competition_U14,Competition_U16,Movement_dribble or cut,Movement_drive,Movement_no,target
0,0,1.31,4.67,0,1,0,0,0,0,1,0,0,0,1,1
0,0,17.4,1.79,0,1,0,0,0,0,1,0,0,0,1,6
0,1,45.76,0.6,0,1,0,0,0,0,1,0,0,0,1,2
0,1,64.0,3.04,0,1,0,0,0,0,1,0,0,0,1,1
0,1,45.58,0.75,0,1,0,0,0,0,1,0,0,0,1,2
0,1,52.08,0.68,0,1,0,0,0,0,1,0,0,0,1,2
0,1,59.17,0.5,0,1,0,0,0,0,1,0,0,0,1,2
0,0,47.55,1.82,0,1,0,0,0,0,1,0,0,1,0,6
0,0,5.6,2.75,0,1,0,0,0,0,1,0,0,1,0,6
0,1,13.48,1.15,0,1,0,0,0,0,1,0,0,0,1,3
1,1,61.2,0.98,0,1,0,0,0,0,1,0,0,0,1,1
0,1,45.58,0.75,0,1,0,0,0,0,1,0,0,0,1,2
0,1,62.44,0.79,0,1,0,0,0,0,1,0,0,0,1,2
0,1,36.54,7.29,0,1,0,0,0,0,1,0,0,0,1,1
0,1,50.76,0.83,0,1,0,0,0,0,1,0,0,0,1,2
1,1,38.52,0.95,0,1,0,0,0,0,1,0,0,0,1,2
1,1,48.67,1.85,0,1,0,0,0,0,1,0,0,0,1,1
0,1,62.65,1.03,1,0,0,0,0,0,1,0,0,0,1,2
1,1,22.55,1.68,1,0,0,0,0,0,1,0,0,0,1,1
0,1,71.09,0.62,1,0,0,0,0,0,1,0,0,0,1,2
1,1,17.18,1.45,1,0,0,0,0,0,1,0,0,0,1,3
1,1,3.04,1.01,1,0,0,0,0,0,1,0,0,0,1,2
0,1,15.1,0.82,1,0,0,0,0,0,1,0,0,0,1,1
1,0,17.33,0.72,1,0,0,0,0,0,1,0,1,0,0,2
1,1,23.62,1.34,1,0,0,0,0,0,1,0,0,0,1,3
0,0,55.84,0.65,1,0,0,0,0,0,1,0,1,0,0,2
0,1,16.34,1.33,1,0,0,0,0,0,1,0,0,0,1,1
1,0,80.91,0.6,1,0,0,0,0,0,1,0,1,0,0,2
1,0,57.01,0.77,1,0,0,0,0,0,1,0,0,0,1,1
1,0,45.61,3.6,1,0,0,0,0,0,1,0,1,0,0,2
0,1,57.86,0.89,1,0,0,0,0,0,1,0,0,0,1,1
1,1,65.66,0.88,1,0,0,0,0,0,1,0,0,0,1,2
1,0,62.44,0.79,1,0,0,0,0,0,1,0,1,0,0,2
1,1,75.89,0.83,1,0,0,0,0,0,1,0,0,0,1,1
0,1,2.05,7.48,0,1,0,0,0,0,1,0,0,0,1,1
0,1,47.32,7.29,0,1,0,0,0,0,1,0,0,0,1,1
0,1,58.61,1.32,0,1,0,0,0,0,1,0,0,0,1,3
0,0,53.68,1.8,0,1,0,0,0,0,1,0,1,0,0,1
0,1,51.69,7.1,0,1,0,0,0,0,1,0,0,0,1,1
0,1,82.52,4.86,0,1,0,0,0,0,1,0,0,0,1,1
0,1,63.18,4.86,0,1,0,0,0,0,1,0,0,0,1,1
0,1,26.53,4.44,0,1,0,0,0,0,1,0,0,0,1,6
0,0,68.45,0.4,0,1,0,0,0,0,1,0,0,1,0,2
1,0,62.05,0.55,0,1,0,0,0,0,1,0,1,0,0,2
0,1,76.31,3.58,0,1,0,0,0,0,1,0,0,0,1,1
0,1,58.46,4.4,0,1,0,0,0,0,1,0,0,0,1,1
0,0,59.07,0.81,0,1,0,0,0,0,1,0,1,0,0,2
1,0,42.97,0.86,0,1,0,0,0,0,1,0,1,0,0,2
0,0,60.52,0.74,0,0,1,0,0,0,1,0,1,0,0,2
0,1,23.06,3.15,0,0,1,0,0,0,1,0,0,0,1,1
0,0,66.26,1.17,0,0,1,0,0,0,1,0,0,0,1,1
1,0,54.7,0.72,0,0,1,0,0,0,1,0,1,0,0,2
0,1,48.19,6.04,0,0,1,0,0,0,1,0,0,0,1,1
0,1,39.79,3.77,0,0,1,0,0,0,1,0,0,0,1,1
0,1,0.0,4.78,0,0,1,0,0,0,1,0,0,0,1,1
